fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2016-06-30,USD,3458000000,None,None,None,None,398000000,870000000,None,None,2504000000,-4452000000,-3240000000,1000000,836000000,836000000,None,1340000000,1340000000,None,None,178000000,None,-780000000,None,-4338000000,-103000000,2504000000
2016-09-30,USD,4117000000,None,None,None,None,1275000000,768000000,None,None,2853000000,-951000000,-4185000000,45000000,857000000,857000000,None,1337000000,1337000000,None,None,105000000,None,-806000000,None,-978000000,41000000,2853000000
2016-12-31,USD,3979000000,None,None,None,None,695000000,973000000,712000000,-14000000,4501000000,-3639000000,-1298000000,890000000,870000000,870000000,None,1329000000,1329000000,None,None,764000000,None,-1036000000,None,-1212000000,-206000000,4501000000
2017-03-31,USD,3955000000,None,None,None,None,1099000000,740000000,None,None,1750000000,303000000,-2134000000,-880000000,1293000000,1293000000,None,1321000000,1321000000,None,None,2887000000,None,-1293000000,None,2270000000,100000000,1750000000
2017-06-30,USD,3466000000,None,None,None,None,388000000,685000000,None,None,2332000000,-1668000000,-609000000,-93000000,1432000000,1432000000,None,1403000000,1403000000,None,None,2948000000,None,-1432000000,None,1600000000,447000000,2331000000
2017-09-30,USD,3570000000,None,None,None,None,1176000000,848000000,None,None,2725000000,-1906000000,-2756000000,179000000,949000000,949000000,None,1395000000,1395000000,None,None,3520000000,None,-949000000,None,-781000000,328000000,2726000000
2017-12-31,USD,5733000000,None,None,None,None,1149000000,956000000,1297000000,18000000,-1054000000,-3810000000,-919000000,1414000000,666000000,666000000,None,1387000000,1387000000,None,None,288000000,None,-666000000,None,1057000000,62000000,-1054000000
2018-03-31,USD,4602000000,None,None,None,None,1114000000,870000000,None,-127000000,1679000000,-1764000000,-2909000000,412000000,777000000,777000000,None,1382000000,1382000000,None,None,2170000000,None,-777000000,None,-71000000,None,1679000000
2018-06-30,USD,2294000000,None,None,None,None,342000000,931000000,None,-127000000,2404000000,-635000000,-2519000000,-15000000,990000000,990000000,None,1437000000,1437000000,None,None,336000000,None,-990000000,None,2404000000,None,2404000000
2018-09-30,USD,4232000000,None,None,None,None,1138000000,812000000,None,-127000000,2694000000,-2969000000,-436000000,-21000000,626000000,626000000,None,1431000000,1431000000,None,None,2208000000,None,-626000000,None,827000000,None,2694000000
2018-12-31,USD,4119000000,None,None,None,None,1112000000,782000000,1006000000,-127000000,1951000000,455000000,-4605000000,965000000,2050000000,2050000000,None,1416000000,1416000000,None,None,2177000000,None,-2050000000,None,-31000000,None,1951000000
2019-03-31,USD,4759000000,None,None,None,None,1446000000,539000000,None,67000000,1591000000,-853000000,1863000000,21000000,920000000,920000000,None,1397000000,1397000000,None,None,5979000000,None,-920000000,None,5769000000,None,1591000000
2019-06-30,USD,2941000000,None,None,None,None,307000000,583000000,None,67000000,2498000000,4162000000,21031000000,-328000000,316000000,None,None,1436000000,1436000000,None,None,25270000000,None,-407000000,None,2498000000,None,2498000000
2019-09-30,USD,3619000000,None,None,None,None,1669000000,588000000,None,67000000,1672000000,-30373000000,-8177000000,-1833000000,125000000,125000000,None,1436000000,1436000000,None,None,247000000,None,-125000000,None,-34931000000,None,1672000000
2019-12-31,USD,3451000000,None,None,None,None,1650000000,576000000,None,67000000,3670000000,128000000,-5675000000,-457000000,0,None,None,1438000000,1438000000,None,None,329000000,None,-86000000,None,-2096000000,None,3670000000
2020-03-31,USD,4476000000,None,None,None,None,1634000000,630000000,None,-209000000,1175000000,-902000000,-115000000,586000000,None,None,None,1440000000,1440000000,None,None,6055000000,None,-44000000,None,3459000000,None,1175000000
2020-06-30,USD,3576000000,None,None,None,None,1679000000,585000000,None,-209000000,1361000000,-1236000000,-1624000000,-1035000000,None,None,None,1450000000,1450000000,None,None,4135000000,None,-167000000,None,1361000000,None,1361000000
2020-09-30,USD,4285000000,None,None,None,None,1683000000,725000000,None,-209000000,1698000000,-332000000,-1689000000,-18000000,None,None,None,1453000000,1453000000,None,None,147000000,None,-14000000,None,2264000000,None,1698000000
2020-12-31,USD,5860000000,None,None,None,None,1699000000,678000000,5297000000,-209000000,1356000000,-558000000,-6293000000,-386000000,None,None,None,1454000000,1454000000,None,None,167000000,None,-77000000,None,-991000000,None,1356000000
2021-03-31,USD,4914000000,None,None,None,None,1672000000,494000000,None,None,955000000,-2000000000,-5783000000,-89000000,None,None,None,1457000000,1457000000,None,None,51000000,None,-26000000,None,-2869000000,None,955000000
